rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
180	tribe180	173470	7	3	4	s6_7seqs	2	28.57	66.67	s6_7seqs:2;s4_60seqs:1
181	tribe181	173939	7	7	0	s4_60seqs	7	100.00	100.00	s4_60seqs:7
182	tribe182	175077	7	4	3	s4_60seqs	4	57.14	100.00	s4_60seqs:4
183	tribe183	175269	7	5	2	s4_60seqs	5	71.43	100.00	s4_60seqs:5
184	tribe184	181336	7	7	0	s4_60seqs	7	100.00	100.00	s4_60seqs:7
185	tribe185	184154	7	5	2	s4_60seqs	3	42.86	60.00	s4_60seqs:3;s6_7seqs:2
186	tribe186	194827	7	7	0	s4_60seqs	7	100.00	100.00	s4_60seqs:7
187	tribe187	198276	7	6	1	s4_60seqs	3	42.86	50.00	s4_60seqs:3;s6_7seqs:3
188	tribe188	207056	7	5	2	s6_7seqs	4	57.14	80.00	s6_7seqs:4;s4_60seqs:1
189	tribe189	208048	7	5	2	s5_5seqs	3	42.86	60.00	s5_5seqs:3;s4_60seqs:2
190	tribe190	209001	7	7	0	s2_38seqs	7	100.00	100.00	s2_38seqs:7
191	tribe191	211325	7	5	2	s4_60seqs	5	71.43	100.00	s4_60seqs:5
192	tribe192	215160	7	3	4	s5_5seqs	3	42.86	100.00	s5_5seqs:3
193	tribe193	228625	7	2	5	s4_60seqs	1	14.29	50.00	s4_60seqs:1;s5_5seqs:1
194	tribe194	232652	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
195	tribe195	234027	7	2	5	s4_60seqs	1	14.29	50.00	s4_60seqs:1;s6_7seqs:1
196	tribe196	239406	7	4	3	s6_7seqs	4	57.14	100.00	s6_7seqs:4
197	tribe197	248369	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
198	tribe198	251750	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
199	tribe199	255766	7	2	5	s5_5seqs	2	28.57	100.00	s5_5seqs:2
200	tribe200	255862	7	7	0	s7g_172seqs	7	100.00	100.00	s7g_172seqs:7
201	tribe201	255880	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
202	tribe202	261099	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
203	tribe203	270052	7	5	2	s6_7seqs	4	57.14	80.00	s6_7seqs:4;s5_5seqs:1
204	tribe204	273217	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
205	tribe205	273973	7	4	3	s5_5seqs	3	42.86	75.00	s5_5seqs:3;s4_60seqs:1
206	tribe206	276021	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
207	tribe207	279176	7	1	6	s4_60seqs	1	14.29	100.00	s4_60seqs:1
208	tribe208	280701	7	2	5	s6_7seqs	2	28.57	100.00	s6_7seqs:2
209	tribe209	283998	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
210	tribe210	288637	7	4	3	s4_60seqs	4	57.14	100.00	s4_60seqs:4
211	tribe211	292429	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
212	tribe212	292480	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
213	tribe213	293772	7	6	1	s4_60seqs	4	57.14	66.67	s4_60seqs:4;s6_7seqs:2
214	tribe214	297867	7	1	6	s4_60seqs	1	14.29	100.00	s4_60seqs:1
215	tribe215	299837	7	7	0	s6_7seqs	7	100.00	100.00	s6_7seqs:7
216	tribe216	304977	7	0	7	unassigned	0	0.00	0.00	-
217	tribe217	313026	7	0	7	unassigned	0	0.00	0.00	-
218	tribe218	317063	7	3	4	s8_225seqs	2	28.57	66.67	s8_225seqs:2;s6_7seqs:1
219	tribe219	323016	7	4	3	s4_60seqs	4	57.14	100.00	s4_60seqs:4
